external_data,Category1
moebel_26,Badezimmer
moebel_327,Badezimmer
moebel_537,Badezimmer
moebel_943,Badezimmer
moebel_409,Badezimmer
moebel_942,Badezimmer
moebel_940,Badezimmer
moebel_941,Badezimmer
moebel_760,Badezimmer
moebel_758,Badezimmer
moebel_414,Badezimmer
moebel_787,Badezimmer
moebel_413,Badezimmer
moebel_416,Badezimmer
moebel_4158,Badezimmer
moebel_774,Badezimmer
moebel_780,Badezimmer
moebel_735,Badezimmer
moebel_415,Badezimmer
moebel_404,Badezimmer
moebel_704,Badezimmer
moebel_710,Badezimmer
moebel_695,Badezimmer
moebel_702,Badezimmer
moebel_1220,Badezimmer
moebel_848,Badezimmer
moebel_711,Badezimmer
moebel_721,Badezimmer
moebel_4554,Badezimmer
moebel_4557,Badezimmer
moebel_330,Badezimmer
moebel_417,Badezimmer
moebel_729,Badezimmer
moebel_630,Badezimmer
moebel_269,Badezimmer
moebel_4063,Badezimmer
moebel_324,Badezimmer
moebel_394,Badezimmer
moebel_397,Badezimmer
moebel_396,Badezimmer
moebel_955,Badezimmer
moebel_4078,Badezimmer
moebel_395,Badezimmer
moebel_588,Badezimmer
moebel_623,Badezimmer
moebel_328,Badezimmer
moebel_598,Badezimmer
moebel_325,Badezimmer
moebel_945,Badezimmer
moebel_946,Badezimmer
moebel_405,Badezimmer
moebel_537,Badezimmer
moebel_744,Badezimmer
moebel_1219,Badezimmer
moebel_943,Badezimmer
moebel_412,Badezimmer
moebel_722,Badezimmer
moebel_411,Badezimmer
moebel_418,Badezimmer
moebel_731,Badezimmer
moebel_747,Badezimmer
moebel_1299,Badezimmer
moebel_754,Badezimmer
moebel_776,Badezimmer
moebel_795,Badezimmer
moebel_1119,Badezimmer
moebel_1118,Badezimmer
moebel_1120,Badezimmer
moebel_797,Badezimmer
moebel_798,Badezimmer
moebel_930,Badezimmer
moebel_508,Badezimmer
moebel_931,Badezimmer
moebel_507,Badezimmer
moebel_506,Badezimmer
moebel_952,Badezimmer
moebel_953,Badezimmer
moebel_954,Badezimmer
moebel_395,Badezimmer
moebel_406,Badezimmer
moebel_743,Badezimmer
moebel_735,Badezimmer
moebel_676,Badezimmer
moebel_582,Badezimmer
moebel_779,Badezimmer
moebel_808,Badezimmer
moebel_635,Badezimmer
moebel_1122,Badezimmer
moebel_1121,Badezimmer
moebel_939,Badezimmer
moebel_951,Badezimmer
moebel_938,Badezimmer
moebel_937,Badezimmer
moebel_636,Badezimmer
moebel_918,Baumarkt
moebel_929,Baumarkt
moebel_327,Baumarkt
moebel_537,Baumarkt
moebel_943,Baumarkt
moebel_409,Baumarkt
moebel_942,Baumarkt
moebel_940,Baumarkt
moebel_941,Baumarkt
moebel_404,Baumarkt
moebel_704,Baumarkt
moebel_710,Baumarkt
moebel_695,Baumarkt
moebel_702,Baumarkt
moebel_1220,Baumarkt
moebel_848,Baumarkt
moebel_711,Baumarkt
moebel_721,Baumarkt
moebel_707,Baumarkt
moebel_405,Baumarkt
moebel_537,Baumarkt
moebel_744,Baumarkt
moebel_1219,Baumarkt
moebel_943,Baumarkt
moebel_412,Baumarkt
moebel_722,Baumarkt
moebel_411,Baumarkt
moebel_973,Baumarkt
moebel_974,Baumarkt
moebel_977,Baumarkt
moebel_975,Baumarkt
moebel_976,Baumarkt
moebel_978,Baumarkt
moebel_930,Baumarkt
moebel_508,Baumarkt
moebel_931,Baumarkt
moebel_507,Baumarkt
moebel_506,Baumarkt
moebel_693,Baumarkt
moebel_406,Baumarkt
moebel_743,Baumarkt
moebel_735,Baumarkt
moebel_676,Baumarkt
moebel_582,Baumarkt
moebel_347,Baumarkt
moebel_762,Baumarkt
moebel_4479,Baumarkt
moebel_469,Baumarkt
moebel_1221,Baumarkt
moebel_466,Baumarkt
moebel_468,Baumarkt
moebel_882,Baumarkt
moebel_467,Baumarkt
moebel_881,Baumarkt
moebel_355,Baumarkt
moebel_1039,Baumarkt
moebel_1045,Baumarkt
moebel_1040,Baumarkt
moebel_1044,Baumarkt
moebel_1043,Baumarkt
moebel_1042,Baumarkt
moebel_1041,Baumarkt
moebel_1046,Baumarkt
moebel_1047,Baumarkt
moebel_1049,Baumarkt
moebel_1048,Baumarkt
moebel_1050,Baumarkt
moebel_1123,Baumarkt
moebel_1124,Baumarkt
moebel_1125,Baumarkt
moebel_1126,Baumarkt
